seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_reservoir_500,750,422,500,0.0105,0.7347,0.035,0.5675,0.8175
0,bounded_substrate_reservoir_500,800,442,500,0.0105,0.7767,0.0375,0.5675,0.8175
0,bounded_substrate_reservoir_500,850,457,500,0.0105,0.8107,0.039,0.61,0.8175
0,bounded_substrate_reservoir_500,900,473,500,0.0105,0.8417,0.04,0.6825,0.815
0,bounded_substrate_reservoir_500,950,483,500,0.0105,0.8648,0.04,0.6825,0.815
0,bounded_substrate_reservoir_500,1000,500,500,0.0105,0.8953,0.042,0.6825,0.815
0,bounded_substrate_reservoir_500,1050,520,500,0.0105,0.9343,0.043,0.6825,0.815
0,bounded_substrate_reservoir_500,1100,537,500,0.0105,0.9688,0.0445,0.7175,0.815
0,bounded_substrate_reservoir_500,1150,546,500,0.0105,0.9908,0.0445,0.7275,0.815
0,bounded_substrate_reservoir_500,1195,562,500,0.0105,1.0228,0.045,0.735,0.815
0,bounded_substrate_fifo_500,0,0,500,0.0045,0.0,0.0,0.0,0.085
0,bounded_substrate_fifo_500,50,19,500,0.0045,0.0335,0.0005,0.8175,0.07
0,bounded_substrate_fifo_500,100,24,500,0.0045,0.049,0.001,0.8975,0.07
0,bounded_substrate_fifo_500,150,27,500,0.0045,0.0615,0.001,0.9225,0.07
0,bounded_substrate_fifo_500,200,32,500,0.0045,0.077,0.001,0.94,0.07
0,bounded_substrate_fifo_500,250,36,500,0.0045,0.0905,0.0015,0.9525,0.07
0,bounded_substrate_fifo_500,300,38,500,0.0045,0.1005,0.003,0.955,0.07
0,bounded_substrate_fifo_500,350,41,500,0.0045,0.113,0.003,0.9625,0.07
0,bounded_substrate_fifo_500,400,44,500,0.0045,0.126,0.003,0.9625,0.07
0,bounded_substrate_fifo_500,450,45,500,0.0045,0.139,0.003,0.965,0.07
0,bounded_substrate_fifo_500,500,46,500,0.0045,0.1486,0.003,0.97,0.07
0,bounded_substrate_fifo_500,550,48,500,0.0045,0.1586,0.003,0.9725,0.07
0,bounded_substrate_fifo_500,600,49,500,0.0045,0.1671,0.003,0.975,0.07
0,bounded_substrate_fifo_500,650,52,500,0.0045,0.1781,0.0035,0.975,0.07
0,bounded_substrate_fifo_500,700,55,500,0.0045,0.1936,0.0035,0.9775,0.07
0,bounded_substrate_fifo_500,750,56,500,0.0045,0.2031,0.0035,0.9775,0.07
0,bounded_substrate_fifo_500,800,57,500,0.0045,0.2116,0.0035,0.97,0.07
0,bounded_substrate_fifo_500,850,57,500,0.0045,0.2201,0.0035,0.97,0.07
0,bounded_substrate_fifo_500,900,58,500,0.0045,0.2316,0.0035,0.975,0.07
0,bounded_substrate_fifo_500,950,59,500,0.0045,0.2411,0.0035,0.9775,0.07
0,bounded_substrate_fifo_500,1000,60,500,0.0045,0.2501,0.0035,0.98,0.07
